Titre;Auteur;Editeur;Date;EAN;Specialite;Theme;Qte;Prix U (TTC) arrondi;image
Introduction au droit, DCG 1 : manuel et applications, avec QCM et questions de cours corrigees : 2014-2015;Bocquillon, Jean-François;Dunod;06/10/2016;9782100712595;Droit et sciences politiques;Droit;5;5431;https://milalgerie.com/images/9782100712595.jpg 
Droit fiscal, DCG 4 : manuel et applications : 2014-2015;Collectif;Dunod;07/10/2016;9782100712571;Droit et sciences politiques;Droit;5;6903;https://milalgerie.com/images/9782100712571.jpg 
Droit BTS 2e annee;Collectif;Foucher;08/10/2016;9782216127337;Droit et sciences politiques;Droit;5;2915;https://milalgerie.com/images/9782216127337.jpg 
Inde et Asie du Sud : e la recherche d'un equilibre;Cadene, Philippe (1955-,,,,);Ellipses;09/10/2016;9782340001459;Droit et sciences politiques;Politique etrangere des Etats;5;2906;https://milalgerie.com/images/9782340001459.jpg 
Introduction historique au droit : de la fin de l'Antiquite e la codification napoleonienne;Chaumet, Pierre-Olivier (1973-,,,,);Ellipses;10/10/2016;9782340014008;Droit et sciences politiques;Droit;5;4450;https://milalgerie.com/images/9782340014008.jpg 
La procedure penale en schemas;Dechepy-Tellier, Johan (1981-,,,,);Ellipses;11/10/2016;9782340003866;Droit et sciences politiques;Droit;5;6358;https://milalgerie.com/images/9782340003866.jpg 
L'essentiel du droit de la famille : fiches de cours, exercices corriges;Dionisi-Peyrusse, Amelie (1977-,,,,);Ellipses;12/10/2016;9782340003965;Droit et sciences politiques;Droit;5;2634;https://milalgerie.com/images/9782340003965.jpg 
Droit des sûretes;Piedelievre, Stephane (1961-,,,,);Ellipses;13/10/2016;9782340006348;Droit et sciences politiques;Droit;5;6358;https://milalgerie.com/images/9782340006348.jpg 
Leçons de droit administratif general : cours complet et sujets corriges;Chavrier, Anne-Laure;Ellipses;14/10/2016;9782729889975;Droit et sciences politiques;Droit;5;4450;https://milalgerie.com/images/9782729889975.jpg 
L'essentiel du droit constitutionnel : fiches de cours et exercices corriges;Simonian-Gineste, Helene (1956-,,,,);Ellipses;15/10/2016;9782340015777;Droit et sciences politiques;Droit;5;2906;https://milalgerie.com/images/9782340015777.jpg 
Droit : BTS 1re annee, tertiaires : livre du profess;Collectif;Fontaine Picard;16/10/2016;9782744626425;Droit et sciences politiques;Droit;5;4632;https://milalgerie.com/images/9782744626425.jpg 
La protection des donnees personnelles;Desgens-Pasanau, Guillaume;LexisNexis;17/10/2016;9782711024186;Droit et sciences politiques;Droit constitutionnel,;5;5268;https://milalgerie.com/images/9782711024186.jpg 
Droit des relations internationales;Blacher, Philippe (1970-,,,,);LexisNexis;18/10/2016;9782711023738;Droit et sciences politiques;Droit;5;4541;https://milalgerie.com/images/9782711023738.jpg 
Expropriation et preemption : amenagement, urbanisme, environnement;Hostiou, Rene (1941-,,,,);LexisNexis;19/10/2016;9782711024278;Droit et sciences politiques;Droit des biens, droit;5;11262;https://milalgerie.com/images/9782711024278.jpg 
Les contrats de travail e duree determinee;Bousez, Françoise;LexisNexis;20/10/2016;9782711018437;Droit et sciences politiques;Droit du travail;5;7629;https://milalgerie.com/images/9782711018437.jpg 
Le droit face aux ondes electromagnetiques;Cachard, Olivier;LexisNexis;21/10/2016;9782711024087;Droit et sciences politiques;Droit de l'environnement;5;5268;https://milalgerie.com/images/9782711024087.jpg 
La criminalite organisee : droit français, droit international et droit compare;Collectif;LexisNexis;22/10/2016;9782711016822;Droit et sciences politiques;Delits et crimes;5;8901;https://milalgerie.com/images/9782711016822.jpg 
Les mainlevees hypothecaires;Dantcheff, Claude;LexisNexis;23/10/2016;9782711021871;Droit et sciences politiques;Droit des biens, droit ;5;6903;https://milalgerie.com/images/9782711021871.jpg 
L'ingenierie, les transferts de technologie et de maitrise industrielle : contrats internationaux, contrats cles en mains, co-traitance, sous-traitance, joint-venture;Le Tourneau, Philippe (1940-,,,,);LexisNexis;24/10/2016;9782711012381;Droit et sciences politiques;Droit des contrats,;5;10899;https://milalgerie.com/images/9782711012381.jpg 
Droit international prive;Mayer, Pierre (1944-,,,,);LGDJ;25/10/2016;9782275041407;Droit et sciences politiques;Droit;5;7629;https://milalgerie.com/images/9782275041407.jpg 
Droit penal et procedure penale;"Soyer, Jean-Claude (1929-2016 ; juriste)";LGDJ;26/10/2016;9782275034997;Droit et sciences politiques;Droit;5;4723;https://milalgerie.com/images/9782275034997.jpg 
Mi amor en vano; Soledad Puertolas; Anagrama, Editorial S,A,;27/10/2016;9788433997517;Lettres & langues;Spanish (Modern & contemporary fiction (post c 1945));5;3477;https://milalgerie.com/images/9788433997517.jpg 
Book for Students; I A Gonchar; Zlatoust;28/10/2016;9785865475873;Lettres & langues;Russian (Language teaching & learning material & coursework);5;3597;https://milalgerie.com/images/9785865475873.jpg 
em neu Abschlusskurs in zwei Banden: Kurs- und Arbeitsbuch Lektion 6-10 mit Ar;Max Hueber Verlag; Mixed media product;29/10/2016;9783195516976;Lettres & langues;German (Language teaching & learning material & coursework);5;4349;https://milalgerie.com/images/9783195516976.jpg 
Let's Go! Poekhali!: Textbook 1 Russian edition;Collectif; Zlatoust;30/10/2016;9785865475835;Lettres & langues;Russian (Language teaching & learning material & coursework);5;6267;https://milalgerie.com/images/9785865475835.jpg 
Reading the Verses of Russian Poets (Xix-xx Centuries): Chitaem Stikhi Russkikh Poetov;Collectif;Zlatoust;31/10/2016;9785865473855;Lettres & langues;Russian (Reading skills);5;1842;https://milalgerie.com/images/9785865473855.jpg 
Textbook 1;V E Antonova; Zlatoust;01/11/2016;9785865474692;Lettres & langues;Russian (Language teaching & learning material & coursework);5;6267;https://milalgerie.com/images/9785865474692.jpg 
Sociophonetics: A Student's Guide; Marianna Di Paolo; Routledge;02/11/2016;9780415498784;Lettres & langues;Sociolinguistics;5;28337;https://milalgerie.com/images/9780415498784.jpg 
Sociophonetics: A Student's Guide; Marianna Di Paolo; Routledge;03/11/2016;9780415498784;Lettres & langues;Espagnol (litterature);5;28337;https://milalgerie.com/images/9780415498784.jpg 
Principes de phonologie;Troubetskoi, Nikolai Sergueevitch;Klincksieck;04/11/2016;9782252034972;Lettres & langues;Phonetique;5;6358;https://milalgerie.com/images/9782252034972.jpg 
L'ecrivain et son critique : une fratrie problematique;Collectif;Kime;05/11/2016;9782841746507;Lettres & langues;Critique litteraire;5;6358;https://milalgerie.com/images/9782841746507.jpg 
Traite de prononciation française;Fouche, Pierre (1891-1967);Klincksieck;06/11/2016;9782252026106;Lettres & langues;Linguistique;5;5631;https://milalgerie.com/images/9782252026106.jpg 
La fabrique de la Comedie humaine;Laforgue, Pierre (1957-,,,,);Presses universitaires de Franche-Comte;07/11/2016;9782848674520;Lettres & langues;Critique litteraire;5;1816;https://milalgerie.com/images/9782848674520.jpg 
Sur les traces de l'adjectif;Collectif;Presses universitaires Blaise Pascal;08/11/2016;9782845167438;Lettres & langues;Semantique;5;3633;https://milalgerie.com/images/9782845167438.jpg 
Marqus discursifs et subjectivite;Collectif;Presses universitaires de Rouen et du Havre;09/11/2016;9782877755191;Lettres & langues;Semantique;5;3633;https://milalgerie.com/images/9782877755191.jpg 
La langue des signes française au service des personnes avec autisme;Sancho, Genevieve;Solal;10/11/2016;9782353273331;Lettres & langues;Langages non verbaux;5;6521;https://milalgerie.com/images/9782353273331.jpg 
Le monde hispanique contemporain : classes preparatoires, 1er cycle universitaire;Poux, Carole (1975-,,,,);Breal;11/11/2016;9782749533278;Lettres & langues;Pays par continent;5;4814;https://milalgerie.com/images/9782749533278.jpg 
Nouvelle grammaire française;Grevisse, Maurice (1895-1980);Duculot;12/11/2016;9782801110980;Lettres & langues;Etudes linguistiques;5;4523;https://milalgerie.com/images/9782801110980.jpg 
La preposition : regles, exercices et corriges;Grevisse, Maurice (1895-1980);Duculot;13/11/2016;9782801116678;Lettres & langues;Français (generalites et usage courant);5;3542;https://milalgerie.com/images/9782801116678.jpg 
La nouvelle orthographe en pratique, Vol, 1;Dupriez, Dominique (1972-,,,,);Duculot;14/11/2016;9782801116067;Lettres & langues;Etudes linguistiques;5;3996;https://milalgerie.com/images/9782801116067.jpg 
Le bon usage : grammaire française;Grevisse, Maurice (1895-1980);Duculot;15/11/2016;9782801116425;Lettres & langues;Français (generalites et usage courant);5;16439;https://milalgerie.com/images/9782801116425.jpg 
Preparation au concours de profess des ecoles : français : PE1 et PE2;Elalouf, Marie-Laure (1958-,,,,);De Boeck superi;16/11/2016;9782804156411;Lettres & langues;Personnels (types, formation, missions, syndicats;5;4905;https://milalgerie.com/images/9782804156411.jpg 
La dissertation au concours de conseiller principal d'education (CPE) : concours;Mabilon-Bonfils, Beatrice;De Boeck superi;17/11/2016;9782804162122;Lettres & langues;Concours de l'Education;5;3996;https://milalgerie.com/images/9782804162122.jpg 
Preparer et reussir le Capes externe de lettres modernes;Collectif;De Boeck superi;18/11/2016;9782804166106;Lettres & langues;Concours de l'Education;5;4541;https://milalgerie.com/images/9782804166106.jpg 
Le Discours act du monde : enonciation, argumentation et cognition;Vignaux, Georges (1940-2019);Ophrys;19/11/2016;9782708005983;Lettres & langues;Linguistique;5;3815;https://milalgerie.com/images/9782708005983.jpg 
Questions de grammaire pour les concours;Calas, Frederic (1964-,,,,);Ellipses;20/11/2016;9782729839123;Lettres & langues;Linguistique;5;4614;https://milalgerie.com/images/9782729839123.jpg 
L'explication de texte aux oraux des concours : classes prepa, licence, Capes, agregation;Baland, Yannick;Ellipses;21/11/2016;9782340027596;Lettres & langues;Lettres modernes;5;4723;https://milalgerie.com/images/9782340027596.jpg 
L'epreuve d'espagnol e l'entree des ecoles de commerce : methodologie, civilisation, entrainement;Poutet, Pascal (1950-2012);Ellipses;22/11/2016;9782729882150;Lettres & langues;Langues vivantes;5;4360;https://milalgerie.com/images/9782729882150.jpg 
Leçons de stylistique : cours et exercices corriges;Calas, Frederic (1964-,,,,);Armand Colin;23/11/2016;9782200601485;Lettres & langues;Lettres modernes;5;2271;https://milalgerie.com/images/9782200601485.jpg 
Proust et les Moyen Age;Collectif;Hermann;24/11/2016;9782705690373;Lettres & langues;Litterature contemporaine;5;6903;https://milalgerie.com/images/9782705690373.jpg 
Romantisme, n° 172, L'epique;Collectif;Armand Colin;25/11/2016;9782200930783;Lettres & langues;Litterature moderne (17e, 18e et 19e siecles);5;3633;https://milalgerie.com/images/9782200930783.jpg 
Langue française, n° 193, La deixis en français : explorations multimodales;Collectif;Armand Colin;26/11/2016;9782200931094;Lettres & langues;Etudes linguistiques;5;3270;https://milalgerie.com/images/9782200931094.jpg 
L'explication de texte litteraire;Bergez, Daniel (1950-,,,,);Armand Colin;27/11/2016;9782200613839;Lettres & langues;Lettres modernes;5;3433;https://milalgerie.com/images/9782200613839.jpg 
Pour lire l'ancien français;Thomasset, Claude (1938-,,,,);Armand Colin;28/11/2016;9782200603007;Lettres & langues;Français et langues;5;1780;https://milalgerie.com/images/9782200603007.jpg 
Le sacre de l'act : emergence du vedettariat theâtral de Moliere e Sarah Bernhardt;Collectif;Armand Colin;29/11/2016;9782200615529;Lettres & langues;Metiers et techniques du theâtre;5;6176;https://milalgerie.com/images/9782200615529.jpg 
Lire l'epistolaire;Grassi, Marie-Claire (1942-,,,,);Armand Colin;30/11/2016;9782200344269;Lettres & langues;Lettres modernes;5;4360;https://milalgerie.com/images/9782200344269.jpg 
Introduction e l'analyse du poeme;Dessons, Gerard (1949-,,,,);Armand Colin;01/12/2016;9782200613815;Lettres & langues;Lettres modernes;5;3252;https://milalgerie.com/images/9782200613815.jpg 
L'explication de texte e l'oral des concours;Rallo Ditche, Elisabeth (1944-,,,,);Armand Colin;02/12/2016;9782200263669;Lettres & langues;Lettres modernes;5;4886;https://milalgerie.com/images/9782200263669.jpg 
Anglais : dictionnaire de poche : français-anglais, anglais-français;Collectif;Larousse;03/12/2016;9782035974839;Lettres & langues;Anglais et americain;5;1270;https://milalgerie.com/images/9782035974839.jpg 
Rhetorique et argumentation;Robrieux, Jean-Jacques;Armand Colin;04/12/2016;9782200603014;Lettres & langues;Lettres modernes;5;3615;https://milalgerie.com/images/9782200603014.jpg 
Lexique des figures de style;Ricalens-Pourchot, Nicole;Armand Colin;05/12/2016;9782200613877;Lettres & langues;Lettres modernes;5;1780;https://milalgerie.com/images/9782200613877.jpg 
L'esprit des Lumieres : histoire, litterature, philosophie;Martin, Christophe (1967-,,,,);Armand Colin;06/12/2016;9782200601669;Lettres & langues;Lettres modernes;5;3070;https://milalgerie.com/images/9782200601669.jpg 
Servitude et soumission : La Boetie, Montesquieu, Ibsen : prepas scientifiques, programme 2016-2017;Farago, France (1944-,,,,);Armand Colin;07/12/2016;9782200613785;Lettres & langues;Lettres modernes;5;2997;https://milalgerie.com/images/9782200613785.jpg 
La tragedie française : regles classiques, passions tragiques;Forestier, Georges (1951-,,,,);Armand Colin;08/12/2016;9782200616090;Lettres & langues;Lettres modernes;5;5268;https://milalgerie.com/images/9782200616090.jpg 
L'histoire litteraire;Vaillant, Alain (1958-,,,,);Armand Colin;09/12/2016;9782200617301;Lettres & langues;Lettres modernes;5;6358;https://milalgerie.com/images/9782200617301.jpg 
Traduction et culture;Cordonnier, Jean-Louis;Didier;10/12/2016;9782278045006;Lettres & langues;Traduction, interpretation;5;4541;https://milalgerie.com/images/9782278045006.jpg 
Precis de grammaire pour les concours : Capes et agregation de lettres;Maingueneau, Dominique (1950-,,,,);Armand Colin;11/12/2016;9782200602741;Lettres & langues;Etudes linguistiques;5;3996;https://milalgerie.com/images/9782200602741.jpg 
Petit traite de versification française;Grammont, Maurice (1866-1946);Armand Colin;12/12/2016;9782200611675;Lettres & langues;Etudes sur les œuvres;5;2343;https://milalgerie.com/images/9782200611675.jpg 
Introduction e l'histoire de la langue française;Perret, Michele (1937-,,,,);Armand Colin;13/12/2016;9782200614195;Lettres & langues;Français et langues;5;3433;https://milalgerie.com/images/9782200614195.jpg 
Poetique des textes;Milly, Jean;Armand Colin;14/12/2016;9782200290764;Lettres & langues;Histoire de la litterature;5;4541;https://milalgerie.com/images/9782200290764.jpg 
Precis de versification : avec des exercices corriges et un supplement sur la chanson populaire française;Buffard-Moret, Brigitte;Armand Colin;15/12/2016;9782200621438;Lettres & langues;Lettres modernes;5;3252;https://milalgerie.com/images/9782200621438.jpg 
La langue française et le marche des arts : poesie, musique, arts et entreprise;Collectif;Hermann;16/12/2016;9782705691752;Lettres & langues;Etudes linguistiques;5;6358;https://milalgerie.com/images/9782705691752.jpg 
Le roman depuis la Revolution;Raimond, Michel (1928-2014);Armand Colin;17/12/2016;9782200617493;Lettres & langues;Lettres modernes;5;4160;https://milalgerie.com/images/9782200617493.jpg 
Grand dictionnaire allemand-français, français-allemand;Grappin, Pierre (1915-1997);Larousse;18/12/2016;9782035927217;Lettres & langues;Allemand (generalites;5;7357;https://milalgerie.com/images/9782035927217.jpg 
Litterature : 150 textes theoriques et critiques;Collectif;Armand Colin;19/12/2016;9782200601331;Lettres & langues;Lettres modernes;5;4723;https://milalgerie.com/images/9782200601331.jpg 
Vocabulaire d'ancien français : fiches e l'usage des concours;Bertrand, Olivier (1971-,,,,);Armand Colin;20/12/2016;9782200614690;Lettres & langues;Langues vivantes;5;4905;https://milalgerie.com/images/9782200614690.jpg 
Lire le français d'hier : manuel de paleographie moderne XVe-XVIIIe siecle;Audisio, Gabriel (1942-,,,,);Armand Colin;21/12/2016;9782200615383;Lettres & langues;Linguistique;5;5268;https://milalgerie.com/images/9782200615383.jpg 
Phonetisme et prononciations du français;Leon, Pierre Roger (1926-2013);Armand Colin;22/12/2016;9782200278472;Lettres & langues;Etudes linguistiques;5;2543;https://milalgerie.com/images/9782200278472.jpg 
Prosodie et sens : une approche experimentale, Vol, 1;Caelen-Haumont, Genevieve;L'Harmattan;23/12/2016;9782296066250;Lettres & langues;Phonetique;5;3724;https://milalgerie.com/images/9782296066250.jpg 
Prosodie et sens : une approche experimentale, Vol, 2;Caelen-Haumont, Genevieve;L'Harmattan;24/12/2016;9782296066267;Lettres & langues;Phonetique;5;4360;https://milalgerie.com/images/9782296066267.jpg 
Empreintes de l'euphemisme : tours et detours;Collectif;L'Harmattan;25/12/2016;9782296108011;Lettres & langues;Semantique;5;6358;https://milalgerie.com/images/9782296108011.jpg 
La voix : etude d'ethno-linguistique comparative;Kawada, Junzô (1934-,,,,);EHESS;26/12/2016;9782713212345;Lettres & langues;Phonetique;5;3270;https://milalgerie.com/images/9782713212345.jpg 
Etudes sur la nouvelle de langue française, Etudes sur la nouvelle française;Godenne, Rene (1937-,,,,);Slatkine reprints;27/12/2016;9782051027335;Lettres & langues;Etudes sur les œuvres;5;8174;https://milalgerie.com/images/9782051027335.jpg 
Vocabulaire des etudes semiotiques et semiologiques;Collectif;H, Champion;28/12/2016;9782745319708;Lettres & langues;Semantique;5;5994;https://milalgerie.com/images/9782745319708.jpg 
Images et modeles en semantique;Pottier, Bernard (1924-,,,,);H, Champion;29/12/2016;9782745323507;Lettres & langues;Semantique;5;5449;https://milalgerie.com/images/9782745323507.jpg 
La part reelle du langage : essai sur le systeme du nom propre et sur l'antonomase de nom commun;Laurent, Nicolas (1968-,,,,);H, Champion;30/12/2016;9782745330086;Lettres & langues;Etudes linguistiques;5;9082;https://milalgerie.com/images/9782745330086.jpg 
Essai comparatif sur le vocabulaire et la phonetique du chamito-semitique;Cohen, Marcel (1884-1974);H, Champion;31/12/2016;3600120148285;Lettres & langues;Linguistique;5;4723;https://milalgerie.com/images/3600120148285.jpg 
Le theâtre français du Moyen Age;Mazouer, Charles;H, Champion;01/01/2017;9782745330970;Lettres & langues;Genres litteraires;5;9082;https://milalgerie.com/images/9782745330970.jpg 
Mes annees Malraux;Mossuz-Lavau, Janine (1942-,,,,);Ed, du Jasmin;02/01/2017;9782352840923;Lettres & langues;Litterature contemporaine (20e et 21e siecles);5;2906;https://milalgerie.com/images/9782352840923.jpg 
Litterature progressive du français : niveau avance : avec 600 activites;Blondeau, Nicole;CLE international;03/01/2017;9782090380767;Lettres & langues;Français langue etrangere;5;4559;https://milalgerie.com/images/9782090380767.jpg 
Litterature progressive de la francophonie : niveau intermediaire : avec 750 activites;Blondeau, Nicole;CLE international;04/01/2017;9782090380781;Lettres & langues;Français langue etrangere;5;4741;https://milalgerie.com/images/9782090380781.jpg 
Orthographe progressive du français : niveau avance, avec 405 exercices;Chollet, Isabelle (1962-,,,,);CLE international;05/01/2017;9782090380934;Lettres & langues;Français langue etrangere;5;4450;https://milalgerie.com/images/9782090380934.jpg 
Mexican spanish phrasebook & dictionary;Collectif;Lonely planet;06/01/2017;9781742201887;Lettres & langues;Espagnol (generalites et usage courant);5;1580;https://milalgerie.com/images/9781742201887.jpg 
Dictionnaire historique de la langue française : l'origine et l'histoire des mots;Collectif;Le Robert;07/01/2017;9782321007265;Lettres & langues;Français (generalites et usage courant);5;21435;https://milalgerie.com/images/9782321007265.jpg 
Victor Segalen et le roi Dagobert : journal 11 juin-22 septembre 2008;Kerh, Daniel (1943-,,,,);Editions Dialogues;08/01/2017;9782918135289;Lettres & langues;Critique litteraire;5;3615;https://milalgerie.com/images/9782918135289.jpg 
Le Robert & Collins poche + espagnol;Collectif;Le Robert;09/01/2017;9782321010807;Lettres & langues;Espagnol (generalites et usage;5;1815;https://milalgerie.com/images/9782321010807.jpg 
Le village mobile : population et societe e Ferney-Voltaire : 1700-1789;Zufferey, Jonathan;La Ligne d'ombre;10/01/2017;9782952860390;Lettres & langues;Critique litteraire;5;2361;https://milalgerie.com/images/9782952860390.jpg 
Sans famille;Malot, Hector (1830-1907);Office general de la documentation;11/01/2017;9782380540000;Lettres & langues;Romans;5;908;https://milalgerie.com/images/9782380540000.jpg 
Le dernier jour d'un condamne;Hugo, Victor (1802-1885);Office general de la documentation;12/01/2017;9782380540031;Lettres & langues;Romans;5;327;https://milalgerie.com/images/9782380540031.jpg 
L'ile au tresor (1883);Stevenson, Robert Louis (1850-1894);Office general de la documentation;13/01/2017;9782380540079;Lettres & langues;Romans d'aventures;5;727;https://milalgerie.com/images/9782380540079.jpg 
Le bourgeois gentilhomme;Moliere (1622-1673);Office general de la documentation;14/01/2017;9782380540024;Lettres & langues;Pieces de theâtre;5;454;https://milalgerie.com/images/9782380540024.jpg 
Candide ou L'optimisme;Voltaire (1694-1778);Office general de la documentation;15/01/2017;9782380540017;Lettres & langues;Nouvelles et contes;5;545;https://milalgerie.com/images/9782380540017.jpg 
Le pere Goriot;Balzac, Honore de (1799-1850);Office general de la documentation;16/01/2017;9782380540055;Lettres & langues;Romans;5;690;https://milalgerie.com/images/9782380540055.jpg 
La ficelle;Maupassant, Guy de (1850-1893);Office general de la documentation;17/01/2017;9782380540048;Lettres & langues;Nouvelles et contes;5;445;https://milalgerie.com/images/9782380540048.jpg 
Les mots en spectacle : melanges en l'honn d'Aphrodite Sivetidou;Collectif;Classiques Garnier;18/01/2017;9782812438486;Lettres & langues;Genres litteraires;5;7084;https://milalgerie.com/images/9782812438486.jpg 
Anthologie litteraire du Moyen Âge au XIXe siecle;Laurin, Michel;Beauchemin Cheneliere education;19/01/2017;9782761657426;Lettres & langues;Français;5;9580;https://milalgerie.com/images/9782761657426.jpg 
La Litterature baroque en ope;Souiller, Didier;PUF;20/01/2017;9782130414834;Lettres & langues;Histoire de la litterature;5;2271;https://milalgerie.com/images/9782130414834.jpg 
Noir souci : recit;Ceccatty, Rene de (1952-,,,,);Flammarion;21/01/2017;9782081256484;Lettres & langues;Litterature moderne (17e, 18e et 19e siecles);5;3506;https://milalgerie.com/images/9782081256484.jpg 
Le comique et le tragique : penser le theâtre et son histoire;"Meyer, Michel (1950-,,,, ; philosophe)";PUF;22/01/2017;9782130549031;Lettres & langues;Metier d'ecrivain;5;2816;https://milalgerie.com/images/9782130549031.jpg 
Le rêve du style parfait;Philippe, Gilles (1966-,,,,);PUF;23/01/2017;9782130620938;Lettres & langues;Histoire de la litterature;5;4360;https://milalgerie.com/images/9782130620938.jpg 
Exotisme et lettres francophones;Moura, Jean-Marc (1956-,,,,);PUF;24/01/2017;9782130516378;Lettres & langues;Themes dans la litterature;5;3905;https://milalgerie.com/images/9782130516378.jpg 
Le roman et l'ope;Collectif;PUF;25/01/2017;9782130488620;Lettres & langues;Themes dans la litterature;5;3653;https://milalgerie.com/images/9782130488620.jpg 
La litterature frenetique;Glinoer, Anthony;PUF;26/01/2017;9782130577492;Lettres & langues;Etudes sur les œuvres;5;4087;https://milalgerie.com/images/9782130577492.jpg 
Semiotique du design;Beyaert-Geslin, Anne (1960-,,,,);PUF;27/01/2017;9782130608028;Lettres & langues;Design industriel;5;4178;https://milalgerie.com/images/9782130608028.jpg 
La mort d'Antigone : la tragedie de Creon;Bollack, Jean (1923-2012);PUF;28/01/2017;9782130499503;Lettres & langues;Themes dans la litterature;5;2271;https://milalgerie.com/images/9782130499503.jpg 
Types morphopsychologiques en litterature;Corman, Louis (1901-1995);PUF;29/01/2017;9782130406204;Lettres & langues;Histoire de la litterature;5;4087;https://milalgerie.com/images/9782130406204.jpg 
Modernites de Jules Verne;Collectif;PUF;30/01/2017;9782130422396;Lettres & langues;Histoire de la litterature;5;4776;https://milalgerie.com/images/9782130422396.jpg 
Precis de litterature opeenne;Collectif;PUF;31/01/2017;9782130484264;Lettres & langues;Histoire de la litterature;5;3542;https://milalgerie.com/images/9782130484264.jpg 
Madrid, otoño, sábado;ALDECOA, JOSEFINA;ALFAGUARA;01/02/2017;9788420411460;Lettres & langues;Espagnol (litterature);5;3360;https://milalgerie.com/images/9788420411460.jpg 
